# This table of constellations was adapted from this list by P. Barber:
# https://watcheroftheskies.net/constellations/centers_20.txt
# Two additional commented-out entries at the end represent
# Serpens Cauda and Caput. Columns are:
# CN,RA,Dec,Area,Rank,IAU,Name,Genitive,
# CN is for "Constellation"
# RA of constellation center is in decimal hours, J2000
# Dec of constellation center is in decimal degrees, J2000
# Area of constellation is in square degrees
# Rank is by area from largest (1) to smallest (88)
# IAU is official IAU abbreviation
# Name is official IAU spelling of full Latin/Greek name
# Genitive is official IAU spelling of posessive form of name.
# -Tim DeBenedictis (timd@southernstars.com) 25 Mar 2020

CN,0.6816918,+39.592858,722.28,19,And,Andromeda,Andromedae,
CN,10.1401302,-33.842120,238.90,62,Ant,Antlia,Antliae,
CN,16.2020390,-75.222818,206.33,67,Aps,Apus,Apodis,
CN,22.4078441,-10.156064,979.85,10,Aqr,Aquarius,Aquarii,
CN,19.6476459,+2.096360,652.47,22,Aql,Aquila,Aquilae,
CN,17.3285399,-54.083561,237.06,63,Ara,Ara,Arae,
CN,2.6623744,+19.959053,441.39,39,Ari,Aries,Arietis,
CN,5.9425072,+40.621073,657.44,21,Aur,Auriga,Aurigae,
CN,14.6276508,+29.108047,906.83,13,Boo,Bootes,Bootis,
CN,4.7448994,-38.014894,124.86,81,Cae,Caelum,Caeli,
CN,6.4162224,+68.435318,756.83,18,Cam,Camelopardalis,Camelopardalis,
CN,8.6832192,+19.189402,505.87,31,Cnc,Cancer,Cancri,
CN,13.1476296,+40.041877,465.19,38,CVn,Canes Venatici,Canum Venaticorum,
CN,6.8302387,-21.857106,380.12,43,CMa,Canis Major,Canis Majoris,
CN,7.6293346,+5.897637,183.37,71,CMi,Canis Minor,Canis Minoris,
CN,21.0225750,-18.550517,413.95,40,Cap,Capricornus,Capricorni,
CN,8.9538919,-61.357069,494.18,34,Car,Carina,Carinae,
CN,1.1685514,+61.583129,598.41,25,Cas,Cassiopeia,Cassiopeiae,
CN,13.0706870,-45.016238,1060.42,9,Cen,Centaurus,Centauri,
CN,22.9714794,+70.823912,587.79,27,Cep,Cepheus,Cephei,
CN,1.6197811,-8.727667,1231.41,4,Cet,Cetus,Ceti,
CN,10.6950132,-78.993614,131.59,79,Cha,Chamaeleon,Chamaeleontis,
CN,14.7708364,-63.076879,93.35,85,Cir,Circinus,Circini,
CN,5.7934937,-35.441400,270.18,54,Col,Columba,Columbae,
CN,12.7529658,+22.223305,386.47,42,Com,Coma Berenices,Comae Berenices,
CN,18.6467655,-41.053710,127.70,80,CrA,Corona Australis,Coronae Australis,
CN,15.8872320,+32.093072,178.71,73,CrB,Corona Borealis,Coronae Borealis,
CN,12.4239258,-18.096379,183.80,70,Crv,Corvus,Corvi,
CN,11.4075635,-15.650659,282.40,53,Crt,Crater,Crateris,
CN,12.4481545,-59.992374,68.45,88,Cru,Crux,Crucis,
CN,20.6100642,+42.536327,803.98,16,Cyg,Cygnus,Cygni,
CN,20.6802408,+12.155585,188.55,69,Del,Delphinus,Delphini,
CN,5.1196574,-60.977305,179.17,72,Dor,Dorado,Doradus,
CN,16.6578960,+64.184601,1082.95,8,Dra,Draco,Draconis,
CN,21.2017824,+7.465545,71.64,87,Equ,Equuleus,Equulei,
CN,3.7425048,-20.767627,1137.92,6,Eri,Eridanus,Eridani,
CN,2.7659606,-31.215320,397.50,41,For,Fornax,Fornacis,
CN,7.1558504,+23.253119,513.76,30,Gem,Gemini,Geminorum,
CN,22.5341962,-44.933537,365.51,45,Gru,Grus,Gruis,
CN,17.2875889,+28.118352,1225.15,5,Her,Hercules,Herculis,
CN,3.2326672,-52.974629,248.88,58,Hor,Horologium,Horologii,
CN,10.5677493,-17.137458,1302.84,1,Hya,Hydra,Hydrae,
CN,2.3679085,-70.985570,243.04,61,Hyi,Hydrus,Hydri,
CN,21.6104956,-58.121953,294.01,49,Ind,Indus,Indi,
CN,22.4973891,+45.040691,200.69,68,Lac,Lacerta,Lacertae,
CN,10.6933004,+14.780165,946.96,12,Leo,Leo,Leonis,
CN,10.3490416,+33.320787,231.96,64,LMi,Leo Minor,Leonis Minoris,
CN,5.5746528,-18.997856,290.29,51,Lep,Lepus,Leporis,
CN,15.2244733,-15.158926,538.05,29,Lib,Libra,Librae,
CN,15.2814790,-42.201449,333.68,46,Lup,Lupus,Lupi,
CN,8.0143961,+46.232331,545.39,28,Lyn,Lynx,Lyncis,
CN,18.8433796,+36.524693,286.48,52,Lyr,Lyra,Lyrae,
CN,5.4883002,-77.095480,153.48,75,Men,Mensa,Mensae,
CN,20.9646853,-35.937835,209.51,66,Mic,Microscopium,Microscopii,
CN,7.0190606,-2.667058,481.57,35,Mon,Monoceros,Monocerotis,
CN,12.5727924,-69.754140,138.35,77,Mus,Musca,Muscae,
CN,16.0721655,-51.528726,165.29,74,Nor,Norma,Normae,
CN,20.1275622,-82.631196,291.05,50,Oct,Octans,Octantis,
CN,17.3022478,-5.217110,948.34,11,Oph,Ophiuchus,Ophiuchi,
CN,5.5948885,+5.138143,594.12,26,Ori,Orion,Orionis,
CN,19.6064744,-64.784051,377.67,44,Pav,Pavo,Pavonis,
CN,22.7015668,+19.117211,1120.79,7,Peg,Pegasus,Pegasi,
CN,3.4983203,+43.884509,615.00,24,Per,Perseus,Persei,
CN,0.7654959,-47.186750,469.32,37,Phe,Phoenix,Phoenicis,
CN,5.6182317,-52.239238,246.74,59,Pic,Pictor,Pictoris,
CN,0.6482602,+10.770362,889.42,14,Psc,Pisces,Piscium,
CN,22.2857963,-30.510818,245.37,60,PsA,Piscis Austrinus,Piscis Austrini,
CN,7.6191621,-32.961463,673.43,20,Pup,Puppis,Puppis,
CN,8.9122056,-28.387602,220.83,65,Pyx,Pyxis,Pyxidis,
CN,3.8964465,-60.708283,113.94,82,Ret,Reticulum,Reticuli,
CN,19.7101332,+18.628717,79.92,86,Sge,Sagitta,Sagittae,
CN,19.1849153,-27.091776,867.43,15,Sgr,Sagittarius,Sagittarii,
CN,16.7902590,-31.817670,496.78,33,Sco,Scorpius,Scorpii,
CN,0.4657625,-31.714312,474.76,36,Scl,Sculptor,Sculptoris,
CN,18.6730626,-9.851326,109.11,84,Sct,Scutum,Scuti,
CN,16.5001885,+4.567581,636.93,23,Ser,Serpens,Serpentis,
CN,10.2725601,-2.605358,313.52,47,Sex,Sextans,Sextantis,
CN,4.4221310,+16.839410,797.25,17,Tau,Taurus,Tauri,
CN,19.3274808,-50.786922,251.51,57,Tel,Telescopium,Telescopii,
CN,2.1394035,+32.057844,131.85,78,Tri,Triangulum,Trianguli,
CN,16.0630687,-65.641693,109.98,83,TrA,Triangulum Australe,Trianguli Australis,
CN,23.8968438,-63.916632,294.56,48,Tuc,Tucana,Tucanae,
CN,10.9825315,+52.529003,1279.66,3,UMa,Ursa Major,Ursae Majoris,
CN,15.2569670,+76.105337,255.86,56,UMi,Ursa Minor,Ursae Minoris,
CN,9.6235624,-47.409512,499.65,32,Vel,Vela,Velorum,
CN,13.2898872,-2.638660,1294.43,2,Vir,Virgo,Virginis,
CN,7.8063845,-69.346260,141.35,76,Vol,Volans,Volantis,
CN,20.2861650,+24.523796,268.17,55,Vul,Vulpecula,Vulpeculae,

# CN,15.6940214,9.878836,428.48,23,Ser,Serpens Cauda,Serpentis Caudae,
# CN,18.1594009,-6.318851,208.44,23,Ser,Serpens Caput,Serpentis Caputis,
