# This table of constellation shapes is adapted from Martin Krzywinski's table:
# http://mkweb.bcgsc.ca/constellations/constellation.shapes.iau.txt
# which is in turn based on the IAU constellation figures shown here:
# https://www.iau.org/public/themes/constellations/
# Abbreviation for Corona Australis was capitalized to CrA from Cra.
# Constellation shapes are sets of lines defined by star pairs. Columns are:
# Con,HR1,HR2
# Con is IAU constellation abbreviation
# HR1 and HR2 are Bright Star catalog numbers of star pair in each line.
# Constellations are ordered alphabetically by their abbreviation. 
# Within a constellation star pairs are arbitrarily ordered by the HR index
# of the star with the smaller HR index. 
# -Tim DeBenedictis (timd@southernstars.com) 26 Mar 2020

And,15,165
And,68,154
And,68,8965
And,154,165
And,154,337
And,163,165
And,163,215
And,165,337
And,215,271
And,226,269
And,226,335
And,269,337
And,335,464
And,337,604
And,8762,8965
And,8961,8976
And,8965,8976
Ant,3765,4104
Ant,4104,4273
Aps,5470,6020
Aps,6020,6102
Aps,6020,6163
Aps,6102,6163
Aql,7176,7235
Aql,7193,7236
Aql,7235,7236
Aql,7235,7377
Aql,7236,7377
Aql,7236,7447
Aql,7377,7525
Aql,7377,7570
Aql,7447,7710
Aql,7525,7557
Aql,7557,7602
Aql,7570,7710
Aqr,7950,7990
Aqr,7990,8232
Aqr,8232,8414
Aqr,8232,8418
Aqr,8414,8499
Aqr,8414,8518
Aqr,8414,8539
Aqr,8499,8698
Aqr,8518,8558
Aqr,8539,8558
Aqr,8558,8597
Aqr,8679,8698
Aqr,8679,8709
Aqr,8698,8834
Aqr,8709,8858
Aqr,8834,8858
Aqr,8858,8892
Ara,6229,6285
Ara,6229,6500
Ara,6285,6295
Ara,6295,6510
Ara,6461,6462
Ara,6461,6510
Ara,6462,6500
Ara,6510,6743
Ari,546,553
Ari,553,617
Ari,617,838
Aur,1577,1641
Aur,1577,1791
Aur,1605,1612
Aur,1605,1708
Aur,1641,1708
Aur,1708,2088
Aur,1791,2095
Aur,2077,2088
Aur,2088,2095
Boo,5235,5340
Boo,5329,5351
Boo,5329,5404
Boo,5340,5429
Boo,5340,5478
Boo,5340,5506
Boo,5351,5404
Boo,5351,5435
Boo,5429,5435
Boo,5435,5602
Boo,5506,5681
Boo,5602,5681
CMa,2294,2429
CMa,2294,2491
CMa,2429,2580
CMa,2491,2596
CMa,2491,2653
CMa,2574,2596
CMa,2574,2657
CMa,2580,2618
CMa,2596,2657
CMa,2618,2693
CMa,2653,2693
CMa,2693,2827
CMi,2845,2943
CVn,4785,4915
Cae,1443,1502
Cae,1502,1503
Cae,1503,1652
Cam,1035,1155
Cam,1148,1155
Cam,1148,1542
Cam,1542,1603
Cam,1568,1603
Cam,1603,2209
Cam,2209,2527
Cap,7747,7776
Cap,7747,8075
Cap,7776,7936
Cap,7936,7980
Cap,7980,8204
Cap,8075,8278
Cap,8204,8278
Cap,8278,8322
Car,2326,3685
Car,3117,3206
Car,3117,3307
Car,3307,3699
Car,3485,3699
Car,3685,4037
Car,3699,4050
Car,4037,4199
Car,4050,4140
Car,4140,4199
Car,4140,4210
Car,4199,4325
Car,4210,4257
Car,4257,4352
Car,4325,4338
Car,4338,4352
Cas,21,168
Cas,168,264
Cas,264,403
Cas,403,542
Cen,4390,4621
Cen,4441,4638
Cen,4621,4743
Cen,4638,4743
Cen,4743,4819
Cen,4817,5028
Cen,4819,5132
Cen,4819,5231
Cen,5028,5089
Cen,5089,5190
Cen,5132,5231
Cen,5132,5267
Cen,5190,5193
Cen,5190,5288
Cen,5193,5231
Cen,5231,5249
Cen,5248,5249
Cen,5248,5285
Cen,5248,5440
Cen,5267,5459
Cen,5285,5367
Cen,5288,5367
Cen,5440,5576
Cep,7850,7957
Cep,7957,8162
Cep,8162,8238
Cep,8162,8316
Cep,8238,8694
Cep,8238,8974
Cep,8316,8494
Cep,8465,8494
Cep,8465,8571
Cep,8571,8694
Cep,8694,8974
Cet,74,188
Cet,74,334
Cet,188,509
Cet,334,402
Cet,402,539
Cet,509,539
Cet,539,681
Cet,681,779
Cet,718,804
Cet,718,813
Cet,779,804
Cet,804,911
Cet,813,896
Cet,896,911
Cha,3318,4174
Cha,4174,4231
Cha,4174,4583
Cha,4231,4674
Cha,4583,4674
Cir,5463,5670
Cir,5463,5704
Cnc,3249,3461
Cnc,3449,3461
Cnc,3449,3475
Cnc,3461,3572
Col,1743,1956
Col,1956,2040
Col,2040,2106
Col,2040,2120
Col,2106,2256
Col,2256,2296
Com,4737,4983
Com,4968,4983
CrB,5747,5778
CrB,5747,5793
CrB,5793,5849
CrB,5849,5889
CrB,5889,5947
CrB,5947,5971
CrA,6951,7242
CrA,7226,7254
CrA,7242,7259
CrA,7254,7259
Crt,4287,4343
Crt,4287,4382
Crt,4343,4405
Crt,4382,4402
Crt,4382,4405
Crt,4402,4468
Crt,4405,4514
Crt,4514,4567
Cru,4656,4853
Cru,4730,4763
Crv,4623,4630
Crv,4630,4662
Crv,4630,4786
Crv,4662,4757
Crv,4757,4786
Cyg,7328,7420
Cyg,7417,7615
Cyg,7420,7528
Cyg,7420,7751
Cyg,7528,7796
Cyg,7615,7796
Cyg,7751,7924
Cyg,7796,7924
Cyg,7796,7949
Cyg,7924,8028
Cyg,7949,8115
Cyg,8028,8115
Del,7852,7882
Del,7882,7906
Del,7882,7928
Del,7906,7948
Del,7928,7948
Dor,1338,1465
Dor,1465,1674
Dor,1465,1922
Dor,1674,1922
Dor,1922,2015
Dor,1922,2102
Dor,2015,2102
Dra,4434,4787
Dra,4787,5291
Dra,5291,5744
Dra,5744,5986
Dra,5986,6132
Dra,6132,6396
Dra,6396,6920
Dra,6536,6554
Dra,6536,6705
Dra,6554,6688
Dra,6688,6705
Dra,6688,7310
Dra,6920,6927
Dra,6920,7310
Dra,7310,7582
Equ,8097,8123
Equ,8123,8131
Eri,472,566
Eri,566,721
Eri,721,789
Eri,789,794
Eri,794,898
Eri,811,818
Eri,811,874
Eri,818,919
Eri,874,1084
Eri,898,1008
Eri,919,1003
Eri,1003,1088
Eri,1008,1106
Eri,1084,1136
Eri,1088,1173
Eri,1106,1195
Eri,1136,1162
Eri,1162,1231
Eri,1173,1213
Eri,1195,1347
